Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526,,,,,,,,,,52,8,4,4,2,1,1,1,,
Burundi,BDI,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308095,,,,,,,,,,1763447,1571874,2151076,4141387,4585273,5159706,8274062,7670177,,
Belgium,BEL,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422968,705839,1078834,1044235,1268347,1324576,1696777,,
Burkina Faso,BFA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804539,428113,3858046,3769051,5428655,7015446,9779154,10225459,,
Bangladesh,BGD,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55599,,,,,,,,,,55873,51773,9901,3864,10216,6608,4787,4912,,
Bulgaria,BGR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,BLZ,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1486,,,,,,,,,,150,79,37,26,19,13,5,9,,
Bermuda,BMU,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31469,,,,,,,,,,13769,7143,7415,7342,7401,6907,5553,4587,,
Brazil,BRA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613241,,,,,,,,,,334667,267146,242758,177767,144130,143161,129246,194370,,
Barbados,BRB,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5935,,,,,,,,,,436,194,82,45,48,104,74,51,,
Botswana,BWA,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510,,,,,,,,,,1046,432,193,456,1346,326,716,1900,,
Central African Republic,CAF,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33411,,,,,,,,,,,,46759,116300,295088,598833,1032764,383309,,
Canada,CAN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8025,,,,,,,,,,4990,3367,2603,4086,2921,3088,3129,2666,,
Cote d'Ivoire,CIV,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15705,,,,,,,,,,62726,29976,1140627,2506953,3712831,3375904,3471024,3274683,,
Cameroon,CMR,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15212,,26651,,1162784,1675264,1191257,,
"Congo, Dem. Rep.",COD,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897,,,,,,,,,,2417780,4561981,4791598,6715223,9968983,11627473,15330841,15176927,,
"Congo, Rep.",COG,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15751,,,,,,,,,,,37744,120319,43232,66323,51529,171847,127939,,
Colombia,COL,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144432,,,,,,,,,,117650,64309,60179,51696,40768,51594,63170,43405,,
Comoros,COM,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801784,,,,,,,,,,36538,24856,49840,53156,2203,1300,1066,2274,,
Cabo Verde,CPV,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,47,36,36,46,46,28,75,446,,
Costa Rica,CRI,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879,,,,,,,,,,114,17,8,6,6,8,13,25,,
Caribbean small states,CSS,Malaria cases reported,SH.STA.MALR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
